date,state,district,block_id,block_name,panchayat_id,panchayat_name,rainfall_mm,n_cells,mapping_method,fallback_distance_m
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195930,PASALUR,0.33525463654501847,6,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4696,BUKKARAYASAMUDRAM,195932,REDDIPALLI,0.4243293468187284,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195961,CHERLOPALLI,1.0219485747056438,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195962,D.HIREHAL,0.9596675932407379,2,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195963,DODAGHATTA,0.9083406925201416,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195964,HULIKAL,0.7009670734405518,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195965,JAJARAKAL,1.0764523011759775,6,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195966,KADALUR,0.8984549825888086,5,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195968,M.HANUMAPURAM,0.7315621972084045,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195969,MADENAHALLI,0.8444409739265881,6,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195970,MALAPANAGUDI,1.0222876071929932,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195971,MALLIKETHI,1.0563786029815674,2,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195974,OBULAPURAM,1.1981805562973022,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4699,D.HIREHAL,195976,SOMALAPURAM,0.9295068979263306,2,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196007,BUDEDU,0.7186632249072623,3,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196008,GARLADINNE,0.6791127622127533,2,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196009,ILLURU,0.7629686687235627,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196010,KALLURU,0.7907504439353943,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196011,KAMALAPURAM,0.7865225672721863,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196012,KANAMPALLI,0.7087088380198543,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196013,KESAVAPURAM,0.7797839641571045,2,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196014,KOPPALAKONDA,0.8453153371810913,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196015,KOTANKA,0.3518174129901248,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196017,M.P.R. DAM,0.8342135548591614,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196018,MARTHADU,0.6135752201080322,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196019,MUKUNDAPURAM,0.5999056696891785,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196020,MUNTIMADUGU,0.8143027634536223,5,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4702,GARLADINNE,196022,SIRIVARAM,0.7211144473514899,4,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196025,ABBEDODDI,1.760074200662591,2,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196026,BASINEPALLI,3.1223575426560353,2,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196027,BETHAPALLI,3.837841749191284,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196028,BRAMHANAPALLI,1.6341622019881656,3,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196029,CHERLOPALLI,2.1801846661787785,3,area_weighted,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196030,DHARMAPURAM,2.7712016105651855,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196031,ERRAGUDI,1.3941738605499268,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196032,ISSURARALLAPALLI,2.7989954948425293,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196035,KOJJEPALLI,2.7402071952819824,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196036,KOTHAPETA,1.9790358543395996,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196038,MAMADUR,1.3768073320388794,1,direct_grid,
2022-07-10,ANDHRA PRADESH,Anantapur,4703,GOOTY,196039,PEDDODDI,1.9979149103164673,2,direct_grid,
