state,district,block_id,block_name,panchayat_id,panchayat_name,n_days,rainfall_mean_mm,rainfall_min_mm,rainfall_max_mm,n_wet_days,n_cells,mapping_method,fallback_distance_m
ANDHRA PRADESH,Anantapur,4703,GOOTY,196043,TURAKAPALLI,1,2.020746498546273,2.020746498546273,2.020746498546273,1,2,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196044,UBICHERLA,1,3.6955251414933024,3.6955251414933024,3.6955251414933024,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4703,GOOTY,196045,UTAKALLU,1,4.0980835374097335,4.0980835374097335,4.0980835374097335,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196076,75.VEERAPURAM,1,0.4578119218349457,0.4578119218349457,0.4578119218349457,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196077,BELODU,1,0.30902745030828715,0.30902745030828715,0.30902745030828715,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196078,BHUPASAMUDRAM,1,0.1952243768397599,0.1952243768397599,0.1952243768397599,0,2,area_weighted,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196079,GALAGALA,1,0.6672708083947194,0.6672708083947194,0.6672708083947194,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196080,GOLLAPALLI,1,0.5685989260673523,0.5685989260673523,0.5685989260673523,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196081,GONABHAVI,1,0.5814759848442032,0.5814759848442032,0.5814759848442032,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196084,KALUGODU,1,0.4018373191356659,0.4018373191356659,0.4018373191356659,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196085,MAREM PALLI,1,0.20755457878112793,0.20755457878112793,0.20755457878112793,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196087,PULAKUNTA,1,0.5384543636418256,0.5384543636418256,0.5384543636418256,0,3,area_weighted,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196088,RANGASAMUDRAM,1,0.7110743522644043,0.7110743522644043,0.7110743522644043,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4706,GUMMAGATTA,196090,TALLAKERA,1,0.7030257980028788,0.7030257980028788,0.7030257980028788,0,3,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196092,CHINTALAMPALLI,1,1.3015793561935425,1.3015793561935425,1.3015793561935425,1,2,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196093,DANCHERLA,1,1.9114505185734045,1.9114505185734045,1.9114505185734045,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196094,DONIMUKKALA,1,2.5602742155547196,2.5602742155547196,2.5602742155547196,1,3,area_weighted,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196095,DOSALUDIKI,1,3.5691447257995605,3.5691447257995605,3.5691447257995605,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196097,GUNDALA,1,3.232724870203939,3.232724870203939,3.232724870203939,1,2,area_weighted,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196098,GUNDALA THANDA,1,2.4901326190616357,2.4901326190616357,2.4901326190616357,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196102,KASAPURAM,1,4.096755504608154,4.096755504608154,4.096755504608154,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196103,KONGANAPALLI,1,2.6343889236450195,2.6343889236450195,2.6343889236450195,1,1,direct_grid,
